# MJD flux flux_err filter
55878.00000 1.37531e-15 1.01336e-16 BessellR
55879.90000 6.17163e-16 3.97900e-17 BessellR
55879.92000 6.05899e-16 3.34832e-17 BessellR
55880.56000 3.48658e-16 6.42252e-18 SDSS_z
55880.56000 7.31813e-16 1.34805e-17 SDSS_g
55880.56000 6.84227e-16 1.26039e-17 SDSS_r
55880.56000 4.79071e-16 8.82482e-18 SDSS_i
55880.57000 6.69885e-16 1.23397e-17 BessellB
55880.57000 6.17163e-16 5.68428e-18 BessellR
55880.57000 7.26440e-16 6.69076e-18 BessellV
55880.57000 4.12667e-16 3.80081e-18 BessellI
55880.77000 6.95024e-16 4.48099e-17 BessellB
55880.77000 6.81083e-16 5.01841e-17 BessellV
55881.17000 8.34065e-16 5.37742e-17 BessellV
55881.17000 7.69130e-16 4.25037e-17 BessellB
55881.64000 4.91587e-16 4.52768e-18 BessellI
55881.64000 8.97842e-16 8.26943e-18 BessellV
55881.64000 7.83430e-16 1.44313e-17 BessellB
55881.64000 7.84151e-16 7.22230e-18 BessellR
55881.66000 5.92107e-16 1.09070e-17 SDSS_i
55881.66000 4.19179e-16 7.72157e-18 SDSS_z
55881.66000 8.87973e-16 1.63571e-17 SDSS_g
55881.66000 8.45668e-16 1.55778e-17 SDSS_r
55882.53000 9.25550e-16 8.52463e-18 BessellR
55882.53000 8.99498e-16 1.65694e-17 BessellB
55882.53000 5.91017e-16 5.44347e-18 BessellI
55882.53000 1.08943e-15 1.00340e-17 BessellV
55882.55000 1.02612e-15 9.45096e-18 SDSS_r
55882.55000 1.06758e-15 1.96655e-17 SDSS_g
55882.55000 7.05342e-16 1.29929e-17 SDSS_i
55882.55000 5.32599e-16 9.81083e-18 SDSS_z
55882.58000 9.95405e-16 1.83360e-17 BessellB
55882.58000 1.04040e-15 1.91649e-17 BessellV
55882.58000 5.96486e-16 1.09877e-17 BessellI
55882.58000 9.34114e-16 1.72070e-17 BessellR
55883.33000 1.18359e-15 6.54074e-17 BessellV
55883.33000 1.06170e-15 5.86715e-17 BessellB
55883.53000 7.04044e-16 6.48449e-18 BessellI
55883.53000 1.02329e-15 1.88497e-17 BessellB
55883.53000 1.26241e-15 1.16272e-17 BessellV
55883.53000 1.11276e-15 1.02489e-17 BessellR
55883.54000 1.03276e-15 9.51208e-18 BessellB
55883.54000 1.26241e-15 1.16272e-17 BessellV
55883.56000 8.48008e-16 1.56209e-17 SDSS_i
55883.56000 1.24853e-15 1.14994e-17 SDSS_g
55883.56000 1.22236e-15 1.12584e-17 SDSS_r
55883.59000 6.22874e-16 1.14738e-17 SDSS_z
55883.59000 1.22236e-15 2.25167e-17 SDSS_r
55883.59000 8.48008e-16 1.56209e-17 SDSS_i
55884.57000 1.04232e-15 4.80005e-17 BessellB
55884.57000 1.31341e-15 1.20969e-17 BessellR
55884.57000 8.23379e-16 7.58360e-18 BessellI
55884.57000 1.46285e-15 4.04201e-17 BessellV
55884.64000 1.41645e-15 1.30459e-17 SDSS_r
