# MJD flux flux_err filter
53459.8 5.25291e-17 9.531075e-18 SDSS_r
53466.8 1.856949e-16 1.060394e-17 SDSS_r
53467.7 3.739383e-16 5.510559e-18 B
53467.7 1.256609e-16 1.736069e-18 SDSS_i
53467.7 3.654265e-16 5.048553e-18 SDSS_g
53467.7 2.10281e-16 2.905139e-18 SDSS_r
53467.7 2.64972e-16 3.660724e-18 V
53468.6 1.306171e-16 2.045147e-18 SDSS_i
53468.6 2.210039e-16 3.053282e-18 SDSS_r
53468.6 2.82098e-16 3.897328e-18 V
53468.6 4.006822e-16 5.535629e-18 SDSS_g
53468.6 4.119078e-16 6.070097e-18 B
53471.23516 2.587021e-16 5.003743e-18 SDSS_r
53471.23685 1.620317e-16 4.477101e-18 SDSS_i
53471.23865 3.372873e-16 6.834368e-18 V
53471.24492 5.340722e-16 9.837974e-18 B
53472.24146 3.634126e-16 6.024877e-18 V
53472.24774 5.791619e-16 1.013513e-17 B
53472.6 5.613064e-16 8.271717e-18 B
53472.6 5.38022e-16 7.433048e-18 SDSS_g
53472.6 2.929544e-16 4.047314e-18 SDSS_r
53472.6 3.76357e-16 5.199564e-18 V
53472.6 1.798043e-16 2.484088e-18 SDSS_i
53473.2029 2.849706e-16 5.511819e-18 SDSS_r
53473.2046 1.85012e-16 5.452876e-18 SDSS_i
53473.20638 3.88687e-16 6.801885e-18 V
53473.21264 5.981361e-16 1.101807e-17 B
53473.21631 2.908037e-16 5.356803e-18 SDSS_r
53473.21801 1.804679e-16 4.155427e-18 SDSS_i
53473.2198 3.770509e-16 6.598258e-18 V
53473.22608 6.047836e-16 1.114053e-17 B
53473.6 3.101701e-16 4.285159e-18 SDSS_r
53473.6 5.701643e-16 7.877111e-18 SDSS_g
53473.6 3.981072e-16 5.500054e-18 V
53473.6 1.93019e-16 2.666656e-18 SDSS_i
53473.6 5.872189e-16 8.653577e-18 B
53474.20131 2.98951e-16 4.956193e-18 SDSS_r
53474.203 1.931968e-16 3.914699e-18 SDSS_i
53474.20478 3.951846e-16 6.915591e-18 V
53474.21104 6.171632e-16 1.080014e-17 B
53474.2147 3.053515e-16 5.062304e-18 SDSS_r
53474.21638 1.924864e-16 5.495882e-18 SDSS_i
53474.21816 3.959132e-16 6.199042e-18 V
53474.22442 5.975854e-16 1.045753e-17 B
53474.6 2.032357e-16 2.807805e-18 SDSS_i
53474.6 5.953879e-16 8.77396e-18 B
53474.6 3.250873e-16 4.491247e-18 SDSS_r
53474.6 5.861382e-16 8.097798e-18 SDSS_g
53474.6 4.191795e-16 5.791178e-18 V
53475.6 5.997911e-16 8.838848e-18 B
53475.6 2.118361e-16 2.926624e-18 SDSS_i
53475.6 5.82908e-16 8.053171e-18 SDSS_g
53475.6 3.413501e-16 4.715926e-18 SDSS_r
53475.6 4.242287e-16 5.860935e-18 V
53475.8 3.382206e-16 1.931378e-17 SDSS_r
53476.21237 3.229981e-16 5.949845e-18 SDSS_r
53476.21406 2.122267e-16 4.495764e-18 SDSS_i
53476.21587 4.325138e-16 7.568839e-18 V
53476.22215 5.899293e-16 1.141025e-17 B
53476.6 2.12618e-16 2.937426e-18 SDSS_i
53476.6 5.765009e-16 8.495631e-18 B
53476.6 5.69115e-16 7.862614e-18 SDSS_g
53476.6 3.422946e-16 4.728974e-18 SDSS_r
53476.6 4.207266e-16 5.812553e-18 V
53476.7 3.36047e-16 1.021385e-17 SDSS_r
53477.18966 3.326596e-16 5.208643e-18 SDSS_r
53477.19134 2.159733e-16 4.177293e-18 SDSS_i
53477.19315 4.040173e-16 5.953819e-18 V
53477.19942 5.556483e-16 1.023542e-17 B
53477.20295 3.317416e-16 5.194271e-18 SDSS_r
53477.20463 2.108628e-16 4.27266e-18 SDSS_i
53477.20631 4.062562e-16 7.483516e-18 V
53477.21258 5.670221e-16 1.096718e-17 B
53477.6 4.14954e-16 5.732802e-18 V
53477.6 5.520774e-16 7.627232e-18 SDSS_g
