#snname z_obs mu RA Dec
SN1993J -0.0001 27.82 -99. -99.0
SN1994I 0.0015 29.50 -99. -99.0
SN1996cb 0.0024 30.69 -99. -99.0
SN1999dn 0.0093 32.44 -99. -99.0
SN2002ap 0.0022 29.76 -99. -99.0
SN2003jd 0.0188 34.33 -99. -99.0
SN2004aw 0.0159 34.48 -99. -99.0
SN2005bf 0.0189 34.73 -99. -99.0
SN2005hg 0.021 34.54 -99. -99.0
SN2006aj 0.0334 35.90 -99. -99.0
SN2007C 0.0056 31.83 -99. -99.0
SN2007Y 0.0046 31.43 -99. -99.0
SN2007gr 0.0017 29.28 -99. -99.0
SN2007uy 0.007 32.35 -99. -99.0
SN2008D 0.0046 32.35 -99. -99.0
SN2008ax 0.0019 29.42 -99. -99.0
SN2008bo 0.005 31.52 -99. -99.0
SN2009bb 0.01 33.02 -99. -99.0
SN2009er 0.035 36.01 -99. -99.0
SN2009iz 0.0142 33.75 -99. -99.0
SN2009jf 0.008 32.58 -99. -99.0
SN2010al 0.017 34.74 -99. -99.0
SN2011bm 0.0022 35.53 -99. -99.0
SN2011dh 0.0015 29.50 -99. -99.0
SN2011ei 0.0093 32.41 -99. -99.0
SN2011fu 0.0185 34.46 -99. -99.0
SN2012ap 0.0121 32.96 -99. -99.0
SN2013ge 0.0043 31.36 -99. -99.0
