# MJD flux flux_err filter
55413.26000 6.91831e-18 8.28360e-19 R
55413.30400 6.85488e-18 1.26272e-18 R
55416.16000 2.46604e-17 2.72557e-18 R
55416.20400 2.96483e-17 1.09228e-18 R
55417.19800 2.55859e-17 1.41393e-18 SDSS_i
55417.20100 7.17794e-17 2.64445e-18 SDSS_g
55419.17500 4.87529e-17 1.34709e-18 R
55419.21800 4.61318e-17 8.49778e-19 R
55422.17000 6.19441e-17 1.71158e-18 R
55422.21400 6.08135e-17 1.12023e-18 R
55423.19300 4.28548e-17 1.97354e-18 SDSS_i
55423.19500 6.85488e-17 2.52543e-18 SDSS_r
55423.20600 1.07646e-16 3.96584e-18 SDSS_g
55423.20800 4.36516e-17 2.01023e-18 SDSS_i
55423.21000 6.98232e-17 2.57238e-18 SDSS_r
55423.25900 1.02802e-16 3.78735e-18 SDSS_g
55425.20000 6.66807e-17 1.84246e-18 R
55425.24200 6.48634e-17 1.19483e-18 R
55428.19900 6.19441e-17 1.14105e-18 R
55428.25200 6.13762e-17 1.13059e-18 R
55431.23600 5.59758e-17 1.03111e-18 R
55431.28000 5.91562e-17 1.63455e-18 R
55434.30200 5.24807e-17 3.86692e-18 SDSS_r
55434.30700 4.83059e-17 9.34319e-18 SDSS_g
55436.28900 3.49945e-17 3.86774e-18 SDSS_g
55438.16000 4.01791e-17 1.48025e-18 R
55438.20400 3.94457e-17 1.81654e-18 R
55442.19200 3.10456e-17 8.57821e-19 R
55442.24000 3.10456e-17 8.57821e-19 R
55450.20100 2.07014e-17 1.71600e-18 SDSS_i
55450.20300 2.53513e-17 1.63446e-18 SDSS_r
55450.22000 1.75388e-17 2.10000e-18 SDSS_g
55461.22900 1.55597e-17 3.29612e-18 SDSS_r
55463.23300 1.12720e-17 3.01074e-18 SDSS_i
55472.11000 7.24436e-18 6.67230e-19 R
55472.16200 8.79022e-18 1.13345e-18 R
55478.11100 8.95365e-18 9.89594e-19 R
55478.15400 6.85488e-18 1.07331e-18 R
55482.18000 9.72747e-18 2.23983e-18 SDSS_i
55483.09700 7.24436e-18 1.93497e-18 R
55483.14100 2.91072e-18 1.76937e-18 R
55506.07600 5.24807e-18 1.49843e-18 SDSS_i
55506.08200 1.07647e-17 1.48719e-18 SDSS_g
55513.09000 7.72681e-18 1.70800e-18 SDSS_i
55513.09200 8.01678e-18 1.69826e-18 SDSS_r
55515.08500 5.24807e-18 1.69178e-18 SDSS_i
55515.08600 1.07647e-17 1.88378e-18 SDSS_r
55515.09000 1.12720e-17 3.63365e-18 SDSS_g
