# MJD flux flux_err filter
53467.70000 3.73938e-16 5.51056e-18 BessellB
53468.60000 4.11908e-16 6.07010e-18 BessellB
53471.24492 5.34072e-16 9.83797e-18 BessellB
53472.24774 5.79162e-16 1.01351e-17 BessellB
53472.60000 5.61306e-16 8.27172e-18 BessellB
53473.21264 5.98136e-16 1.10181e-17 BessellB
53473.22608 6.04784e-16 1.11405e-17 BessellB
53473.60000 5.87219e-16 8.65358e-18 BessellB
53474.21104 6.17163e-16 1.08001e-17 BessellB
53474.22442 5.97585e-16 1.04575e-17 BessellB
53474.60000 5.95388e-16 8.77396e-18 BessellB
53475.60000 5.99791e-16 8.83885e-18 BessellB
53476.22215 5.89929e-16 1.14102e-17 BessellB
53476.60000 5.76501e-16 8.49563e-18 BessellB
53477.19942 5.55648e-16 1.02354e-17 BessellB
53477.21258 5.67022e-16 1.09672e-17 BessellB
53477.60000 5.55137e-16 8.18080e-18 BessellB
53478.60000 5.33089e-16 7.85589e-18 BessellB
53479.50000 5.40008e-16 7.95785e-18 BessellB
53480.50000 5.42500e-16 7.99458e-18 BessellB
53481.50000 5.47520e-16 8.06855e-18 BessellB
53482.50000 5.79696e-16 1.33480e-17 BessellB
53483.50000 6.17732e-16 9.10323e-18 BessellB
53484.60000 6.35038e-16 9.35827e-18 BessellB
53489.50000 9.77237e-16 1.44011e-17 BessellB
53490.25125 1.13868e-15 1.99264e-17 BessellB
53490.50000 1.09044e-15 1.60693e-17 BessellB
53491.50000 1.20226e-15 1.77172e-17 BessellB
53492.18260 1.26824e-15 1.98575e-17 BessellB
53492.19964 1.27292e-15 2.11032e-17 BessellB
53493.15237 1.33536e-15 2.21385e-17 BessellB
53493.16990 1.34772e-15 2.23433e-17 BessellB
53493.50000 1.34772e-15 3.10324e-17 BessellB
53494.16177 1.36396e-15 2.13562e-17 BessellB
53494.17895 1.37911e-15 2.15936e-17 BessellB
53495.16038 1.42824e-15 2.49936e-17 BessellB
53495.50000 1.40475e-15 2.07012e-17 BessellB
53496.16993 1.44278e-15 2.39193e-17 BessellB
53496.50000 1.44411e-15 2.12812e-17 BessellB
53497.15987 1.47231e-15 2.44089e-17 BessellB
53497.17735 1.47639e-15 2.58362e-17 BessellB
53497.50000 1.48047e-15 2.18170e-17 BessellB
53498.15053 1.47911e-15 2.31593e-17 BessellB
53498.16762 1.46420e-15 2.42744e-17 BessellB
53499.14599 1.44411e-15 2.26112e-17 BessellB
53499.16310 1.44811e-15 2.40076e-17 BessellB
53499.40000 1.43615e-15 2.11639e-17 BessellB
53500.50000 1.41906e-15 2.09120e-17 BessellB
53501.50000 1.34524e-15 1.98242e-17 BessellB
53502.50000 1.31099e-15 1.93195e-17 BessellB
53503.17960 1.24968e-15 2.07180e-17 BessellB
53503.50000 1.25661e-15 1.85181e-17 BessellB
53504.50000 1.19674e-15 1.76358e-17 BessellB
53506.50000 1.06463e-15 1.56890e-17 BessellB
53508.70000 9.47109e-16 1.39571e-17 BessellB
53509.16714 8.48008e-16 6.48267e-17 BessellB
53509.50000 8.89611e-16 1.31098e-17 BessellB
53510.16382 8.32530e-16 1.68694e-17 BessellB
53510.50000 8.36373e-16 1.77175e-17 BessellB
53511.16765 7.05342e-16 2.20879e-17 BessellB
53511.50000 7.58578e-16 1.11788e-17 BessellB
53512.16661 6.87385e-16 1.77269e-17 BessellB
53512.70000 6.68036e-16 1.10751e-17 BessellB
53513.50000 6.62521e-16 9.76328e-18 BessellB
53516.17168 4.92947e-16 8.62639e-18 BessellB
53516.40000 5.05825e-16 7.45411e-18 BessellB
53517.40000 4.49159e-16 6.61905e-18 BessellB
53520.50000 3.30826e-16 4.87524e-18 BessellB
53521.40000 3.08745e-16 4.54984e-18 BessellB
53522.16139 2.73401e-16 6.79891e-18 BessellB
53522.40000 2.87078e-16 6.61022e-18 BessellB
53523.50000 2.54449e-16 4.21840e-18 BessellB
53524.15944 2.34423e-16 5.39779e-18 BessellB
53524.40000 2.26152e-16 3.54099e-18 BessellB
53525.40000 2.11252e-16 7.39366e-18 BessellB
53526.16081 1.87068e-16 5.34118e-18 BessellB
53526.40000 1.81635e-16 8.53190e-18 BessellB
53527.50000 1.79639e-16 2.64725e-18 BessellB
53528.50000 1.77664e-16 2.61816e-18 BessellB
53529.50000 1.62331e-16 2.54170e-18 BessellB
53530.50000 1.52195e-16 2.52318e-18 BessellB
53538.50000 1.09951e-16 3.74695e-18 BessellB
53538.50000 1.03753e-16 4.10908e-18 BessellB
53542.50000 8.68560e-17 5.43982e-18 BessellB
53565.50000 4.87529e-17 2.82889e-18 BessellB
53569.50000 3.97375e-17 4.86774e-18 BessellB
