# MJD flux flux_err filter
53467.70000 2.64972e-16 3.66072e-18 BessellV
53468.60000 2.82098e-16 3.89733e-18 BessellV
53471.23865 3.37287e-16 6.83437e-18 BessellV
53472.24146 3.63413e-16 6.02488e-18 BessellV
53472.60000 3.76357e-16 5.19956e-18 BessellV
53473.20638 3.88687e-16 6.80189e-18 BessellV
53473.21980 3.77051e-16 6.59826e-18 BessellV
53473.60000 3.98107e-16 5.50005e-18 BessellV
53474.20478 3.95185e-16 6.91559e-18 BessellV
53474.21816 3.95913e-16 6.19904e-18 BessellV
53474.60000 4.19179e-16 5.79118e-18 BessellV
53475.60000 4.24229e-16 5.86094e-18 BessellV
53476.21587 4.32514e-16 7.56884e-18 BessellV
53476.60000 4.20727e-16 5.81255e-18 BessellV
53477.19315 4.04017e-16 5.95382e-18 BessellV
53477.20631 4.06256e-16 7.48352e-18 BessellV
53477.60000 4.14954e-16 5.73280e-18 BessellV
53478.60000 4.21891e-16 5.82864e-18 BessellV
53479.50000 4.45862e-16 6.15981e-18 BessellV
53480.50000 4.59198e-16 6.34405e-18 BessellV
53481.50000 4.67304e-16 6.45605e-18 BessellV
53482.19648 4.75992e-16 1.00833e-17 BessellV
53482.21025 4.96592e-16 1.32640e-17 BessellV
53482.22357 5.20955e-16 9.11652e-18 BessellV
53482.23696 4.97050e-16 1.09872e-17 BessellV
53482.50000 4.95678e-16 1.00438e-17 BessellV
53483.27183 5.19996e-16 1.91574e-17 BessellV
53483.50000 5.23359e-16 7.23048e-18 BessellV
53484.60000 5.51569e-16 7.62021e-18 BessellV
53486.21579 6.39735e-16 1.11951e-17 BessellV
53489.50000 7.67008e-16 1.05966e-17 BessellV
53490.23475 8.48790e-16 2.26712e-17 BessellV
53490.24553 8.52707e-16 1.25660e-17 BessellV
53490.50000 8.30233e-16 1.14701e-17 BessellV
53491.50000 9.03650e-16 1.24844e-17 BessellV
53492.17258 9.47109e-16 1.48294e-17 BessellV
53492.18961 9.63829e-16 1.59790e-17 BessellV
53493.14235 9.89008e-16 1.63964e-17 BessellV
53493.15990 9.92659e-16 1.55426e-17 BessellV
53493.50000 9.89008e-16 1.36637e-17 BessellV
53494.15177 1.01018e-15 1.58170e-17 BessellV
53494.16891 1.01578e-15 1.59047e-17 BessellV
53495.16763 1.06365e-15 1.76339e-17 BessellV
53495.50000 1.04040e-15 1.43736e-17 BessellV
53496.13523 1.07053e-15 1.67620e-17 BessellV
53496.15994 1.06365e-15 1.66542e-17 BessellV
53496.50000 1.04520e-15 1.44400e-17 BessellV
53497.14987 1.09245e-15 1.81112e-17 BessellV
53497.16735 1.08543e-15 1.69951e-17 BessellV
53497.50000 1.06856e-15 1.47627e-17 BessellV
53498.14050 1.09648e-15 2.22177e-17 BessellV
53498.15759 1.09749e-15 1.71840e-17 BessellV
53499.13601 1.07944e-15 1.69015e-17 BessellV
53499.15310 1.10459e-15 1.83125e-17 BessellV
53499.40000 1.08443e-15 1.49819e-17 BessellV
53500.50000 1.05682e-15 1.46005e-17 BessellV
53501.15575 1.07152e-15 1.77643e-17 BessellV
53501.50000 1.05682e-15 1.46005e-17 BessellV
53502.17749 1.05003e-15 1.64409e-17 BessellV
53502.50000 1.03467e-15 1.42944e-17 BessellV
53503.17371 1.02141e-15 1.50520e-17 BessellV
53503.50000 1.01672e-15 1.40465e-17 BessellV
53504.50000 1.00184e-15 1.38410e-17 BessellV
53506.50000 9.54113e-16 1.31816e-17 BessellV
53508.70000 8.98669e-16 1.24156e-17 BessellV
53509.15714 8.49572e-16 1.33022e-17 BessellV
53509.17698 8.79832e-16 1.53968e-17 BessellV
53509.50000 8.75790e-16 1.20995e-17 BessellV
53510.15380 8.30998e-16 1.60729e-17 BessellV
53510.50000 8.42558e-16 1.31924e-17 BessellV
53511.15766 8.06121e-16 1.63342e-17 BessellV
53511.50000 7.97260e-16 1.10145e-17 BessellV
53512.15657 7.76962e-16 1.57434e-17 BessellV
53512.70000 7.48169e-16 1.03363e-17 BessellV
53513.50000 7.17134e-16 9.90756e-18 BessellV
53516.16166 5.91562e-16 9.26242e-18 BessellV
53516.40000 6.12633e-16 8.46383e-18 BessellV
53517.40000 5.71742e-16 7.89891e-18 BessellV
53520.50000 4.58353e-16 6.33238e-18 BessellV
53521.40000 4.28943e-16 5.92607e-18 BessellV
53522.40000 3.92645e-16 6.50951e-18 BessellV
53523.50000 3.56123e-16 4.92002e-18 BessellV
53524.14938 3.40722e-16 7.53159e-18 BessellV
53524.40000 3.38221e-16 4.67269e-18 BessellV
53525.40000 3.15355e-16 7.84223e-18 BessellV
53526.15076 2.77971e-16 4.86440e-18 BessellV
53526.40000 2.86286e-16 4.74622e-18 BessellV
53527.50000 2.67178e-16 3.69120e-18 BessellV
53528.50000 2.55153e-16 3.52506e-18 BessellV
53529.50000 2.41880e-16 3.34170e-18 BessellV
53530.50000 2.32274e-16 3.63684e-18 BessellV
53538.50000 1.65653e-16 2.28858e-18 BessellV
53538.50000 1.66878e-16 2.30551e-18 BessellV
53539.50000 1.63833e-16 2.86701e-18 BessellV
53542.50000 1.47503e-16 2.44539e-18 BessellV
53565.50000 7.33162e-17 1.48559e-18 BessellV
53569.50000 5.95936e-17 2.30529e-18 BessellV
