# MJD flux flux_err filter
53467.70000 3.65426e-16 5.04855e-18 SDSS_g
53468.60000 4.00682e-16 5.53563e-18 SDSS_g
53472.60000 5.38022e-16 7.43305e-18 SDSS_g
53473.60000 5.70164e-16 7.87711e-18 SDSS_g
53474.60000 5.86138e-16 8.09780e-18 SDSS_g
53475.60000 5.82908e-16 8.05317e-18 SDSS_g
53476.60000 5.69115e-16 7.86261e-18 SDSS_g
53477.60000 5.52077e-16 7.62723e-18 SDSS_g
53478.60000 5.46512e-16 7.55035e-18 SDSS_g
53479.50000 5.48529e-16 7.57822e-18 SDSS_g
53480.50000 5.61824e-16 7.76188e-18 SDSS_g
53481.50000 5.76501e-16 7.96465e-18 SDSS_g
53482.50000 5.94840e-16 1.64360e-17 SDSS_g
53483.50000 6.47441e-16 8.94472e-18 SDSS_g
53484.60000 6.81710e-16 9.41818e-18 SDSS_g
53489.50000 9.93574e-16 1.37267e-17 SDSS_g
53490.50000 1.10764e-15 1.53027e-17 SDSS_g
53491.50000 1.20670e-15 1.66712e-17 SDSS_g
53493.50000 1.31220e-15 1.81287e-17 SDSS_g
53495.50000 1.40605e-15 1.94253e-17 SDSS_g
53496.50000 1.44145e-15 1.99144e-17 SDSS_g
53497.50000 1.45211e-15 2.00617e-17 SDSS_g
53499.40000 1.44944e-15 2.00247e-17 SDSS_g
53500.50000 1.40475e-15 1.94074e-17 SDSS_g
53501.50000 1.36647e-15 1.88785e-17 SDSS_g
53502.50000 1.33291e-15 1.84148e-17 SDSS_g
53503.50000 1.29300e-15 1.78635e-17 SDSS_g
53504.50000 1.25314e-15 1.73128e-17 SDSS_g
53506.50000 1.14710e-15 1.58477e-17 SDSS_g
53512.70000 8.12831e-16 1.12297e-17 SDSS_g
53516.40000 6.14894e-16 8.49507e-18 SDSS_g
53517.40000 5.67545e-16 1.51591e-17 SDSS_g
53520.50000 4.35311e-16 6.01405e-18 SDSS_g
53521.40000 4.14572e-16 8.40037e-18 SDSS_g
53529.50000 2.21411e-16 3.05891e-18 SDSS_g
53530.50000 2.10863e-16 4.07845e-18 SDSS_g
