# MJD flux flux_err filter
55716.47000 5.123892e-15 4.719279e-17 SDSS_g
55717.46000 6.619116e-15 7.315717e-17 SDSS_g
55718.53000 9.187556e-15 3.638682e-16 SDSS_g
55720.44000 1.424295e-14 1.574189e-16 SDSS_g
55721.44000 1.693558e-14 2.339736e-16 SDSS_g
55722.44000 2.023019e-14 2.422250e-16 SDSS_g
55729.39000 3.162278e-14 2.912565e-16 SDSS_g
55730.40000 3.247880e-14 2.991408e-16 SDSS_g
55731.41000 3.416646e-14 3.776217e-16 SDSS_g
55731.82000 3.253869e-14 4.195693e-16 SDSS_g
55732.46000 3.486583e-14 8.991532e-16 SDSS_g
55733.45000 3.391564e-14 3.748495e-16 SDSS_g
55735.44000 3.101701e-14 2.856773e-16 SDSS_g
55736.44000 2.910717e-14 4.825565e-16 SDSS_g
55738.45000 2.346389e-14 2.377214e-16 SDSS_g
55739.44000 2.191795e-14 5.854283e-16 SDSS_g
55740.44000 1.898454e-14 1.748540e-16 SDSS_g
55741.44000 1.741005e-14 3.367402e-16 SDSS_g
55742.49000 1.485936e-14 1.779176e-16 SDSS_g
55745.44000 1.149212e-14 2.434465e-16 SDSS_g
55745.80000 9.990794e-15 3.404689e-16 SDSS_g
55746.45000 1.033713e-14 9.520849e-17 SDSS_g
55747.44000 9.576350e-15 1.852230e-16 SDSS_g
55748.44000 9.418896e-15 1.735025e-16 SDSS_g
55750.44000 8.356030e-15 1.616200e-16 SDSS_g
55751.43000 7.684224e-15 2.052455e-16 SDSS_g
55752.45000 7.571815e-15 9.066069e-17 SDSS_g
55756.46000 6.680362e-15 8.613977e-17 SDSS_g
55762.78000 5.495409e-15 1.164135e-16 SDSS_g
55767.43000 5.385177e-15 4.959932e-17 SDSS_g
55768.45000 5.385177e-15 5.455925e-17 SDSS_g
55773.39000 5.190390e-15 5.258579e-17 SDSS_g
55776.38000 4.911340e-15 4.523511e-17 SDSS_g
55780.41000 4.764310e-15 4.388092e-17 SDSS_g
55783.44000 4.681661e-15 4.743166e-17 SDSS_g
55784.77000 4.429962e-15 7.344262e-17 SDSS_g
55790.38000 4.006822e-15 1.402359e-16 SDSS_g
55793.37000 4.180228e-15 5.775199e-17 SDSS_g
55797.76000 3.883292e-15 5.007301e-17 SDSS_g
55798.37000 3.897625e-15 3.589845e-17 SDSS_g
55801.36000 3.763570e-15 3.813014e-17 SDSS_g
55810.34000 3.320473e-15 4.281577e-17 SDSS_g
55716.47000 2.447936e-15 3.381948e-17 SDSS_i
55717.46000 2.924152e-15 2.693244e-17 SDSS_i
55718.53000 4.006822e-15 4.059461e-17 SDSS_i
55720.44000 6.600852e-15 1.337514e-16 SDSS_i
55721.44000 8.031562e-15 7.397342e-17 SDSS_i
55722.44000 9.401562e-15 8.659158e-17 SDSS_i
55723.41000 1.112756e-14 1.024886e-16 SDSS_i
55724.41000 1.232537e-14 1.248729e-16 SDSS_i
55725.43000 1.365212e-14 1.257406e-16 SDSS_i
55729.39000 1.839924e-14 1.694633e-16 SDSS_i
55730.40000 1.931968e-14 2.135290e-16 SDSS_i
55731.41000 2.028617e-14 1.868425e-16 SDSS_i
55731.82000 2.034230e-14 1.873595e-16 SDSS_i
55732.46000 2.091221e-14 1.926086e-16 SDSS_i
55733.45000 2.151791e-14 1.981872e-16 SDSS_i
55735.44000 2.220240e-14 2.044917e-16 SDSS_i
55736.44000 2.201912e-14 2.028036e-16 SDSS_i
55738.45000 2.110571e-14 1.943908e-16 SDSS_i
55739.44000 2.043619e-14 1.882243e-16 SDSS_i
55740.44000 1.958845e-14 1.804163e-16 SDSS_i
55741.44000 1.891472e-14 2.961588e-16 SDSS_i
55742.49000 1.776642e-14 1.636348e-16 SDSS_i
55745.44000 1.570363e-14 1.446358e-16 SDSS_i
55745.80000 1.561709e-14 1.438387e-16 SDSS_i
55746.45000 1.528974e-14 1.408237e-16 SDSS_i
55747.44000 1.470957e-14 1.354802e-16 SDSS_i
55748.44000 1.413839e-14 1.302194e-16 SDSS_i
55750.44000 1.272917e-14 1.875839e-16 SDSS_i
55751.43000 1.246235e-14 1.147825e-16 SDSS_i
55752.45000 1.243942e-14 1.145713e-16 SDSS_i
55756.46000 1.053901e-14 9.706791e-17 SDSS_i
55762.78000 9.153770e-15 8.430934e-17 SDSS_i
55767.43000 7.943282e-15 8.779240e-17 SDSS_i
55768.45000 7.698392e-15 7.090481e-17 SDSS_i
55773.39000 6.631320e-15 6.107672e-17 SDSS_i
55776.38000 6.373823e-15 5.870508e-17 SDSS_i
55780.41000 5.910170e-15 5.443468e-17 SDSS_i
55783.44000 5.430002e-15 5.001217e-17 SDSS_i
55784.77000 5.696394e-15 5.246573e-17 SDSS_i
55790.38000 4.934010e-15 4.998830e-17 SDSS_i
55793.37000 4.397441e-15 4.860231e-17 SDSS_i
55797.76000 4.353114e-15 4.009366e-17 SDSS_i
55798.37000 4.032738e-15 3.714289e-17 SDSS_i
55801.36000 3.826485e-15 3.524323e-17 SDSS_i
55810.34000 3.056328e-15 3.940975e-17 SDSS_i
