# MJD flux flux_err filter
55716.01000 4.87978e-15 8.98888e-17 B
55716.01000 4.06256e-15 7.48352e-17 V
55716.43000 4.88877e-15 9.45573e-17 B
55716.43000 3.41979e-15 3.77970e-17 R
55716.43000 4.19952e-15 7.34902e-17 V
55716.43000 4.11529e-15 7.58064e-17 V
55716.43000 3.52858e-15 3.89993e-17 R
55716.43000 4.71629e-15 9.12210e-17 B
55716.47000 5.12389e-15 4.71928e-17 SDSS_g
55716.47000 4.06630e-15 3.74521e-17 SDSS_r
55716.68000 5.15703e-15 9.49961e-17 B
55716.68000 4.29339e-15 3.95435e-17 V
55717.43000 4.60469e-15 6.36161e-17 R
55717.43000 5.29663e-15 1.41473e-16 V
55717.43000 5.93198e-15 1.03808e-16 B
55717.46000 6.61912e-15 7.31572e-17 SDSS_g
55717.46000 5.36537e-15 4.94169e-17 SDSS_r
55717.48000 5.53095e-15 1.37543e-16 B
55717.48000 5.51061e-15 8.12074e-17 V
55717.48000 5.48530e-15 1.31356e-16 V
55717.48000 6.04784e-15 1.83819e-16 B
55717.48000 4.49987e-15 5.38789e-17 R
55717.48000 4.66015e-15 5.15059e-17 R
55717.82000 6.55239e-15 1.81049e-16 B
55717.82000 5.81835e-15 1.60767e-16 V
55718.48000 7.80549e-15 7.18912e-17 B
55718.48000 6.09256e-15 7.29489e-17 R
55718.48000 7.59976e-15 1.25993e-16 V
55718.53000 9.18756e-15 3.63868e-16 SDSS_g
55718.53000 7.24436e-15 6.67230e-17 SDSS_r
55718.57000 7.87046e-15 1.15983e-16 V
55718.57000 6.26903e-15 5.77399e-17 R
55718.57000 7.83430e-15 1.58744e-16 B
55719.03000 9.29822e-15 1.71280e-16 B
55719.03000 8.64570e-15 1.59260e-16 V
55720.42000 1.34896e-14 1.24244e-16 B
55720.42000 1.23367e-14 3.06789e-16 V
55720.42000 9.99079e-15 9.20186e-17 R
55720.44000 1.42430e-14 1.57419e-16 SDSS_g
55720.44000 1.17598e-14 1.29974e-16 SDSS_r
55720.83000 1.35769e-14 1.25048e-16 V
55720.83000 1.47367e-14 2.71460e-16 B
55721.42000 1.58928e-14 1.61016e-16 V
55721.42000 1.18905e-14 1.09515e-16 R
55721.42000 1.65959e-14 2.29280e-16 B
55721.43000 1.13763e-14 1.78125e-16 R
55721.43000 1.59956e-14 1.47325e-16 B
55721.43000 1.41775e-14 4.83145e-16 V
55721.44000 1.40734e-14 1.29621e-16 SDSS_r
55721.44000 1.69356e-14 2.33974e-16 SDSS_g
55721.84000 1.66265e-14 1.53135e-16 V
55721.84000 1.75550e-14 3.23374e-16 B
55722.42000 1.92664e-14 1.77450e-16 B
55722.42000 1.89147e-14 1.74211e-16 V
55722.42000 1.38803e-14 1.91764e-16 R
55722.44000 2.02302e-14 2.42225e-16 SDSS_g
55722.44000 1.63080e-14 1.50202e-16 SDSS_r
55723.18000 2.05494e-14 1.89267e-16 V
55723.18000 2.16970e-14 3.99674e-16 B
55723.41000 1.61585e-14 1.48825e-16 R
55723.41000 2.13403e-14 2.55516e-16 V
55723.41000 2.21411e-14 2.03927e-16 B
55723.41000 1.87068e-14 1.72296e-16 SDSS_r
55723.98000 2.27196e-14 4.18510e-16 B
55723.98000 2.21208e-14 2.03740e-16 V
55724.41000 2.04739e-14 1.88571e-16 SDSS_r
55724.41000 2.41435e-14 2.66844e-16 B
55724.41000 2.39663e-14 2.64885e-16 V
55724.41000 1.76848e-14 1.79171e-16 R
55725.13000 2.51420e-14 4.63133e-16 B
55725.13000 2.53980e-14 2.33924e-16 V
55725.39000 2.62060e-14 3.86185e-16 V
55725.39000 1.98427e-14 2.01033e-16 R
55725.43000 2.24698e-14 2.06955e-16 SDSS_r
55725.43000 2.62785e-14 4.59864e-16 B
55725.43000 2.65950e-14 8.81816e-16 V
55725.43000 1.96427e-14 1.99007e-16 R
55726.36000 2.12422e-14 1.95648e-16 R
55726.36000 2.67424e-14 4.18721e-16 V
55726.36000 2.63269e-14 3.15224e-16 B
55726.66000 2.51420e-14 4.63133e-16 B
55726.66000 2.68411e-14 2.47216e-16 V
55727.79000 2.73149e-14 5.03159e-16 B
55727.79000 2.97030e-14 2.73575e-16 V
55728.40000 3.03389e-14 2.79432e-16 V
55728.40000 2.43220e-14 2.24014e-16 R
55728.40000 2.97577e-14 3.01487e-16 B
55729.25000 3.05351e-14 2.81239e-16 V
55729.25000 2.88669e-14 5.31748e-16 B
55729.39000 2.88403e-14 3.71881e-16 SDSS_r
55729.39000 3.05633e-14 1.80159e-15 V
55729.39000 3.10170e-14 2.85677e-16 B
55729.39000 3.16228e-14 2.91257e-16 SDSS_g
55729.39000 2.54683e-14 2.34572e-16 R
55729.60000 2.88669e-14 5.31748e-16 B
55729.60000 3.19742e-14 2.94493e-16 V
55730.40000 3.37598e-14 3.42033e-16 V
55730.40000 3.00885e-14 2.77125e-16 SDSS_r
55730.40000 2.61577e-14 2.40922e-16 R
55730.40000 3.24788e-14 2.99141e-16 SDSS_g
55730.40000 3.14775e-14 2.89918e-16 B
55730.53000 3.05070e-14 5.61960e-16 B
55730.53000 3.28700e-14 3.02744e-16 V
55731.41000 2.74157e-14 2.52508e-16 R
55731.41000 3.23594e-14 3.87453e-16 B
55731.41000 3.41665e-14 3.77622e-16 SDSS_g
55731.41000 3.15355e-14 2.90453e-16 SDSS_r
55731.41000 3.58096e-14 6.59638e-16 V
55731.65000 3.44191e-14 3.17012e-16 V
55731.65000 3.07893e-14 5.67160e-16 B
55731.82000 3.25387e-14 4.19569e-16 SDSS_g
55731.82000 3.17395e-14 2.92331e-16 SDSS_r
55731.82000 2.70645e-14 4.23764e-16 R
55732.40000 3.07044e-14 7.91833e-16 B
55732.40000 2.83661e-14 2.61262e-16 R
55732.40000 3.52209e-14 3.89275e-16 V
55732.41000 3.44191e-14 6.34024e-16 V
55732.41000 3.05351e-14 6.74974e-16 B
55732.41000 2.69402e-14 3.97005e-16 R
55732.46000 3.18273e-14 3.22454e-16 B
55732.46000 2.81579e-14 4.40884e-16 R
55732.46000 3.48658e-14 8.99153e-16 SDSS_g
55732.46000 3.25687e-14 2.99968e-16 SDSS_r
55732.46000 3.64083e-14 4.02399e-16 V
55732.67000 3.02273e-14 5.56808e-16 B
55732.67000 3.50590e-14 3.22906e-16 V
55733.45000 3.39156e-14 3.74850e-16 SDSS_g
55733.45000 2.86814e-14 3.69831e-16 R
55733.45000 3.29003e-14 3.03023e-16 SDSS_r
55733.89000 3.02273e-14 5.56808e-16 B
55733.89000 3.47376e-14 3.19945e-16 V
55734.52000 2.88669e-14 2.65874e-16 R
55734.52000 3.63078e-14 3.34407e-16 V
55734.52000 3.13329e-14 2.88586e-16 B
55734.75000 2.83400e-14 5.22042e-16 B
55734.75000 3.47376e-14 3.19945e-16 V
55735.44000 3.25087e-14 2.99416e-16 SDSS_r
