# MJD flux flux_err filter
55885.27000 1.44012e-15 2.65281e-17 B
55885.27000 8.74178e-16 2.41544e-17 V
55885.27000 6.29796e-16 1.16013e-17 R
55885.27000 4.00682e-16 1.10713e-17 I
55886.32000 8.82267e-16 3.25039e-17 V
55886.32000 4.04390e-16 1.86228e-17 I
55886.32000 6.18301e-16 2.27790e-17 R
55886.32000 1.42692e-15 3.94273e-17 B
55887.29000 5.85059e-16 7.54403e-17 R
55887.29000 1.36270e-15 1.50611e-16 B
55887.29000 8.82267e-16 1.54394e-16 V
55887.29000 4.00682e-16 6.64275e-17 I
55888.24000 1.25430e-15 2.31050e-17 B
55888.24000 5.85059e-16 2.69430e-17 R
55888.24000 8.66164e-16 7.17990e-17 V
55888.24000 3.79140e-16 2.44441e-17 I
55888.27000 8.19596e-16 6.79388e-17 V
55888.27000 1.28944e-15 8.31331e-17 B
55889.30000 1.24280e-15 4.57863e-17 B
55889.30000 3.82648e-16 4.93405e-17 I
55889.30000 8.66164e-16 3.98883e-17 V
55889.30000 5.69115e-16 6.81427e-17 R
55890.45000 7.89951e-16 6.54814e-17 V
55890.45000 1.24280e-15 8.01261e-17 B
55890.46000 1.27761e-15 9.41382e-17 B
55890.46000 5.19039e-16 8.12689e-17 R
55890.46000 3.62076e-16 8.67060e-17 I
55890.46000 8.27180e-16 1.44754e-16 V
55891.87000 1.24280e-15 8.01261e-17 B
55891.87000 8.19596e-16 6.79388e-17 V
55893.25000 1.28944e-15 7.12569e-17 B
55893.25000 5.43501e-16 5.00583e-17 R
55893.25000 7.75533e-16 2.85717e-17 V
55893.25000 3.65426e-16 1.34628e-17 I
55893.96000 1.25430e-15 9.24199e-17 B
55893.96000 7.47481e-16 6.88455e-17 V
55895.39000 5.38518e-16 9.91986e-18 R
55895.39000 7.82708e-16 1.44180e-17 V
55895.39000 1.28944e-15 2.37523e-17 B
55895.39000 3.97009e-16 1.09698e-17 I
55896.17000 7.68422e-16 6.36969e-17 V
55896.17000 1.38803e-15 8.94898e-17 B
55905.72000 1.56459e-15 5.76416e-17 B
55905.72000 9.58517e-16 4.41414e-17 V
55905.72000 6.41505e-16 2.36339e-17 R
55905.72000 4.39339e-16 2.83253e-17 I
55907.37000 6.01451e-16 1.10791e-17 R
55907.37000 9.32395e-16 1.71753e-17 V
55907.37000 4.15719e-16 7.65783e-18 I
55907.37000 1.57906e-15 2.90874e-17 B
55912.76000 8.98669e-16 8.27705e-18 V
55912.76000 6.01451e-16 2.76978e-17 R
55912.76000 3.89762e-16 2.87188e-17 I
55912.76000 1.40088e-15 3.87077e-17 B
55913.39000 3.72220e-16 6.85655e-18 I
55913.39000 5.69115e-16 1.04835e-17 R
55913.39000 1.32556e-15 3.66266e-17 B
55913.39000 8.42558e-16 1.55205e-17 V
55914.26000 5.69115e-16 8.38679e-17 R
55917.34000 3.30217e-16 3.04141e-18 I
55917.34000 4.52064e-16 4.16366e-18 R
55917.34000 1.03371e-15 9.52085e-18 B
55917.34000 7.27110e-16 6.69693e-18 V
55917.76000 4.47919e-16 2.88784e-17 R
55917.76000 1.04328e-15 2.88268e-17 B
55917.76000 7.20444e-16 3.31777e-17 V
55917.76000 3.18273e-16 2.34512e-17 I
55919.26000 6.39146e-16 1.17735e-17 V
55919.26000 1.01485e-15 2.80412e-17 B
55919.26000 3.21218e-16 2.07097e-17 I
55919.26000 4.04762e-16 1.11840e-17 R
55922.36000 8.36373e-16 1.54066e-17 B
55922.36000 3.33580e-16 6.14477e-18 R
55922.36000 2.32702e-16 4.28653e-18 I
55922.36000 5.82908e-16 1.61063e-17 V
55924.73000 3.27491e-16 6.03262e-18 R
55924.73000 7.48859e-16 2.06917e-17 B
55924.73000 2.16172e-16 7.96408e-18 I
55924.73000 5.46512e-16 2.01343e-17 V
55928.27000 2.60136e-16 4.79188e-18 R
55928.27000 6.17163e-16 1.70528e-17 B
55928.27000 4.26187e-16 7.85065e-18 V
55928.27000 2.06443e-16 7.60564e-18 I
55931.27000 5.42500e-16 1.59892e-16 B
55931.27000 3.81593e-16 1.05438e-16 V
55931.27000 2.30781e-16 3.61347e-17 R
55931.27000 1.63983e-16 4.38000e-17 I
55932.35000 3.57767e-16 1.31806e-17 V
55932.35000 4.55407e-16 2.93612e-17 B
55932.35000 2.12422e-16 7.82592e-18 R
55932.35000 1.45479e-16 5.35964e-18 I
55937.24000 2.97577e-16 6.57789e-17 V
55937.24000 1.52476e-16 2.24696e-17 R
55937.24000 4.07756e-16 9.01336e-17 B
55937.24000 1.32678e-16 3.54384e-17 I
